"title" "category" "eyes" "heard" "looked" "hands" "dark" "stopped" "home" "find" "head" "high" "long" "knew" "asked" "left" "small" "making" "turn" "arms" "turned" "stop" "man" "fire" "street" "place" "watched" "stood" "mind" "sighed" "arm" "day" "air" "began" "big" "trouble" "face" "door" "cold" "good" "tall" "means" "feet" "give" "pulled" "filled" "understand" "house" "stone" "moment" "hand" "sky" "felt" "quickly" "dressed" "remember" "hear" "water" "stay" "kind" "mouth" "world" "friends" "walls" "warm" "light" "words" "children" "window" "hair" "night" "quietly" "red" "book" "black" "white" "girl" "put" "thinking" "closed" "wearing" "gave" "room" "floor" "lost" "cried" "top" "loud" "front" "leave" "legs" "coming" "young" "father" "time" "turning" "standing" "books" "held" "child" "told" "woman"
"0" "abarat" "children" 4.317508972280057 -0.41288940067878005 15.940180819098307 -0.48301473945789875 -3.147949245100619 -2.3968834400709285 1.2798756113584402 1.8590821432861975 11.87762214674437 3.4916308844012147 -0.678178145329357 -4.677215887267962 -2.0617476823973457 -1.7621596354591456 -3.5804665751443743 -2.7112089151701544 -2.4741389530138123 -2.6026217557710165 -3.9407102021299574 -2.469063790842867 0.7940992402845993 25.37264801382974 13.228249560437565 6.58053717836845 -2.322460860234495 -2.859815224008887 -3.466545703942203 -1.5679861114677285 -2.4741389530138123 5.975832302085777 9.963361544213178 -2.8816628694761777 -3.0957141708066964 -1.8266485405431536 2.0533631013914166 -1.7573602319245516 9.39573797952696 1.118422259997893 -1.9782969111723225 2.91824946823757 3.097866859570537 -0.10811976384994096 4.47000156467994 8.416909265900165 -2.4792037258743416 3.1000524823691116 7.962750623019276 1.8236807490625784 -2.2053838997966233 -2.046856560683294 -1.308346362558415 9.800630832802995 -1.6687476346505634 4.190132768991447 -2.715831610624462 3.0497754955557097 2.268567165749622 5.768611837782195 5.981835421373099 -1.4521223795074905 0.9656676451398407 18.788528976990353 3.7036426284279833 -0.2900481783161303 0.4741615647128038 6.398091226368237 1.371702647246933 -3.781521740555419 1.5018482433363471 -1.4166878433567667 7.563732645696304 -3.292085054457156 -3.3562348622306035 4.757053678367874 -2.8466261519149634 1.4452242923856362 -2.673939665951093 -2.171741339791618 2.3039586641809513 0.20353774029667066 0.16154668958220372 0.856297154191575 4.939681993404688 -1.2964822494421913 1.47616946514253 6.7095982959092275 5.495538640006306 5.626827690569447 3.1487373033253334 0.709715165120805 -3.1439619740322273 -0.5584395734141617 -5.361460612181132 -1.8471349591665573 -2.5588770981608686 -2.1832625948560933 -2.539193135863526 10.031212200367797 -1.4416682472417899 11.569376383278389
"1" "avalonhigh" "children" -5.112849782932301 6.793006504031588 -4.677215887267962 -3.3562348622306035 -3.147949245100619 -2.3968834400709285 5.037215412156754 -3.559384154922375 2.5314483477374354 -2.9800997754107494 -4.743789344536203 2.4973614229675483 -4.302861374698755 -4.109005341672562 -3.5804665751443743 -2.7112089151701544 11.088982446853027 -2.6026217557710165 -3.9407102021299574 -2.469063790842867 -4.996210342959042 -2.428080632660263 -2.458882041114107 -3.7381504052000265 -2.322460860234495 -2.859815224008887 -3.466545703942203 19.83338137159906 -2.4741389530138123 -4.571425793876933 -2.9800997754107494 -2.8816628694761777 -3.0957141708066964 -1.8266485405431536 -4.449053983027198 -4.105951453965903 -2.4435298699640793 2.072847790070732 -1.9782969111723225 15.045277881635258 -3.1078463433767443 7.459838148547505 9.769874700111142 -1.8741018594652163 -2.4792037258743416 37.40665649749466 -1.9463352462793435 -3.573452921837395 -4.39801152154577 -2.046856560683294 -3.827679773996041 -2.375857740482478 -1.6687476346505634 9.340683652571826 -2.715831610624462 7.617917486979351 -2.171741339791618 7.206207711102752 -2.322460860234495 -3.9151623788317695 22.572654767142435 -1.867396643480449 -1.7637621411482933 -3.2537591260096095 -2.8773066117028163 -3.05902896802449 -2.4943363408121257 -3.781521740555419 -3.704442319190267 -1.4166878433567667 -2.793247175231538 6.901165248852253 -3.3562348622306035 -3.502544028732473 20.730089011255654 -3.7280699812624647 -2.673939665951093 -2.171741339791618 -2.1601586367260204 -3.0052487425863452 -4.3115981580594065 -2.7065783244031922 -2.5686625147399296 -1.2964822494421913 -2.4537753231590993 -1.2166206387231806 6.901165248852253 39.50733286066121 -1.9072743791850348 9.340683652571826 -3.1439619740322273 -3.397098108932147 8.058334099730152 -1.8471349591665573 -2.5588770981608686 -2.1832625948560933 -2.539193135863526 8.340950520078726 4.676361691474961 -3.7715572390706837
"2" "beyondthedeepwoods" "children" 8.890895366215979 18.256101427710007 -4.677215887267962 -3.3562348622306035 19.596713953487104 -2.3968834400709285 8.769544102628775 -3.559384154922375 -4.66378716048097 5.028473845382815 5.318355795266898 0.42546678206421445 -4.302861374698755 -4.109005341672562 -3.5804665751443743 -2.7112089151701544 -2.4741389530138123 6.567496182329842 -3.9407102021299574 -2.469063790842867 -4.996210342959042 17.230532123159804 -2.458882041114107 -3.7381504052000265 7.953858046719056 -2.859815224008887 -3.466545703942203 28.874054508837293 -2.4741389530138123 0.6493411013561605 -2.9800997754107494 13.682626243931265 -3.0957141708066964 -1.8266485405431536 0.9153107874915796 1.706671689845271 7.3236306391228 -4.848405879058872 -1.9782969111723225 -1.9719460218740814 -3.1078463433767443 4.393045782633771 -2.6926387725468084 10.860717397102684 -2.4792037258743416 -4.0474898130217625 -1.9463352462793435 9.784130888958005 -4.39801152154577 21.273144368663843 2.407520101089444 -2.375857740482478 -1.6687476346505634 -2.770702438749836 -2.715831610624462 -3.12394928196921 -2.171741339791618 -3.2188756499700943 -2.322460860234495 2.1807146600686544 -2.6598290678988823 -1.867396643480449 11.767738446084639 4.081248637136305 5.417377156657562 4.742907103244609 7.073879484050033 8.84109427813865 9.180816185201378 -1.4166878433567667 -2.793247175231538 -3.292085054457156 3.7548135084502916 -3.502544028732473 -2.8466261519149634 2.6737273478223575 -2.673939665951093 -2.171741339791618 -2.1601586367260204 4.936306347508375 -4.3115981580594065 6.111325903049729 -2.5686625147399296 -1.2964822494421913 -2.4537753231590993 -1.2166206387231806 -3.292085054457156 -2.402111109181918 10.606052863686688 -2.770702438749836 -3.1439619740322273 10.653922899813205 7.290876784218059 -1.8471349591665573 -2.5588770981608686 -2.1832625948560933 -2.539193135863526 -2.9674453667584837 -3.908749332137042 -3.7715572390706837
"3" "blackwater" "children" 11.820971912574565 -3.318649860223691 50.85587602052898 9.542160234372407 -3.147949245100619 -2.3968834400709285 -3.798071148904133 -3.559384154922375 4.618378127177406 -2.9800997754107494 4.381835793077433 4.578299430698194 -4.302861374698755 -4.109005341672562 20.60076365365491 -2.7112089151701544 15.022874800926958 14.030622469615393 7.0446302744788 -2.469063790842867 -4.996210342959042 -2.428080632660263 -2.458882041114107 -3.7381504052000265 -2.322460860234495 12.277541527788294 -3.466545703942203 -1.5679861114677285 102.50794357063081 -4.571425793876933 -2.9800997754107494 -2.8816628694761777 24.872012112374385 21.87251543610832 -4.449053983027198 -4.105951453965903 -2.4435298699640793 4.080310975489275 19.904183441278903 -1.9719460218740814 24.75070167158573 -3.159880870608315 -2.6926387725468084 -1.8741018594652163 -2.4792037258743416 -4.0474898130217625 -1.9463352462793435 -3.573452921837395 5.445083040159275 -2.046856560683294 18.791789902721 34.06575452646423 -1.6687476346505634 -2.770702438749836 -2.715831610624462 -3.12394928196921 -2.171741339791618 -3.2188756499700943 72.23645900147179 -3.9151623788317695 13.615669163361535 -1.867396643480449 -1.7637621411482933 -3.2537591260096095 -2.8773066117028163 -3.05902896802449 -2.4943363408121257 7.6662620512905 -3.704442319190267 -1.4166878433567667 12.704859714093388 -3.292085054457156 -3.3562348622306035 -3.502544028732473 -2.8466261519149634 -3.7280699812624647 -2.673939665951093 17.761591648287457 -2.1601586367260204 -3.0052487425863452 15.769142997803584 -2.7065783244031922 -2.5686625147399296 -1.2964822494421913 -2.4537753231590993 -1.2166206387231806 9.857649103058879 -2.402111109181918 20.790059450958914 -2.770702438749836 -3.1439619740322273 -3.397098108932147 -6.78310967871137 -1.8471349591665573 14.35871668590831 -2.1832625948560933 14.50954674871452 -2.9674453667584837 -3.908749332137042 -3.7715572390706837
"4" "bluedjinn" "children" -5.112849782932301 -3.318649860223691 -4.677215887267962 -3.3562348622306035 -3.147949245100619 -2.3968834400709285 -3.798071148904133 -3.559384154922375 1.6426251378986907 -2.9800997754107494 1.4562677342542372 1.6110901081737492 -4.302861374698755 -4.109005341672562 -3.5804665751443743 8.13700146851268 9.413538038634181 -2.6026217557710165 -3.9407102021299574 -2.469063790842867 0.8906044000053265 9.685093991881807 9.502555805069044 -3.7381504052000265 -2.322460860234495 -2.859815224008887 -3.466545703942203 17.189683035455513 -2.4741389530138123 -4.571425793876933 -2.9800997754107494 -2.8816628694761777 -3.0957141708066964 -1.8266485405431536 -4.449053983027198 -4.105951453965903 33.66623707098359 7.284144670356551 -1.9782969111723225 -1.9719460218740814 -3.1078463433767443 -3.159880870608315 -2.6926387725468084 -1.8741018594652163 9.384187894154662 -4.0474898130217625 -1.9463352462793435 4.657175926285064 2.2895027247891275 -2.046856560683294 -3.827679773996041 -2.375857740482478 15.956304886871775 -2.770702438749836 8.113913720721607 -3.12394928196921 -2.171741339791618 -3.2188756499700943 -2.322460860234495 3.597109619107282 8.397935906869224 -1.867396643480449 14.91182240605935 5.785559264455502 -2.8773066117028163 25.785187624873323 -2.4943363408121257 -3.781521740555419 -3.704442319190267 -1.4166878433567667 -2.793247175231538 -3.292085054457156 -3.3562348622306035 -3.502544028732473 -2.8466261519149634 -3.7280699812624647 -2.673939665951093 -2.171741339791618 -2.1601586367260204 -3.0052487425863452 -4.3115981580594065 -2.7065783244031922 -2.5686625147399296 -1.2964822494421913 -2.4537753231590993 -1.2166206387231806 -3.292085054457156 -2.402111109181918 -1.9072743791850348 -2.770702438749836 24.921038444685493 5.260810424397708 -2.4470800257941416 -1.8471349591665573 -2.5588770981608686 -2.1832625948560933 -2.539193135863526 -2.9674453667584837 -3.908749332137042 -3.7715572390706837
"5" "thebookthief" "children" -5.112849782932301 -3.318649860223691 6.458325979660069 -3.3562348622306035 13.397213741372049 8.467919675217832 -3.798071148904133 11.073296968104422 -4.66378716048097 -2.9800997754107494 0.7458445273094998 -4.677215887267962 -4.302861374698755 14.904111825072075 25.512576043879765 -2.7112089151701544 8.051408383341183 27.41518618223101 -3.9407102021299574 8.078118814664787 -4.996210342959042 -2.428080632660263 -2.458882041114107 -3.7381504052000265 8.890501697092427 15.352317117997096 4.045735653563549 -1.5679861114677285 -2.4741389530138123 12.518428339737646 5.758421961861396 -2.8816628694761777 -3.0957141708066964 12.429879789161246 7.257554552636177 -4.105951453965903 8.213866623023948 -4.848405879058872 50.67642143691344 -1.9719460218740814 -3.1078463433767443 -3.159880870608315 6.9787909536304555 -1.8741018594652163 -2.4792037258743416 -4.0474898130217625 -1.9463352462793435 25.576690915262986 -4.39801152154577 48.844187134089886 2.9758325897040065 -2.375857740482478 13.936767618780676 6.628237809202912 6.873005401504871 -3.12394928196921 9.8194042858497 4.871423416695812 8.890501697092427 2.7363284526767666 -2.6598290678988823 -1.867396643480449 -1.7637621411482933 -3.2537591260096095 6.173403020961242 -3.05902896802449 7.945982488920282 -3.781521740555419 -3.704442319190267 -1.4166878433567667 6.529832750377988 12.528688853804322 -3.3562348622306035 26.237743548569817 42.89465717246553 -3.7280699812624647 7.065123259914857 -2.171741339791618 -2.1601586367260204 -3.0052487425863452 -4.3115981580594065 -2.7065783244031922 -2.5686625147399296 18.789922078786013 -2.4537753231590993 20.188298723812775 -3.292085054457156 19.280205389104975 -1.9072743791850348 -2.770702438749836 -3.1439619740322273 -3.397098108932147 0.8952761649962225 -1.8471349591665573 27.97209293402648 -2.1832625948560933 -2.539193135863526 -2.9674453667584837 -3.908749332137042 -3.7715572390706837
"6" "boymeetsgirl" "children" -5.112849782932301 12.33471947249357 -4.677215887267962 -3.3562348622306035 -3.147949245100619 -2.3968834400709285 3.0406701373196183 18.33262708368395 -4.66378716048097 14.451548781017841 -4.743789344536203 -4.677215887267962 1.733592908201405 -4.109005341672562 -3.5804665751443743 16.44926656769823 -2.4741389530138123 -2.6026217557710165 -3.9407102021299574 29.090298187195614 -4.996210342959042 8.26926838641585 29.231161083838657 17.106938602904865 -2.322460860234495 -2.859815224008887 -3.466545703942203 -1.5679861114677285 -2.4741389530138123 1.1103958401559662 -2.9800997754107494 -2.8816628694761777 -3.0957141708066964 -1.8266485405431536 -4.449053983027198 -4.105951453965903 -2.4435298699640793 -4.848405879058872 -1.9782969111723225 -1.9719460218740814 -3.1078463433767443 13.279995844760174 -2.6926387725468084 -1.8741018594652163 7.997557704800623 -4.0474898130217625 -1.9463352462793435 -3.573452921837395 -4.39801152154577 -2.046856560683294 -3.827679773996041 -2.375857740482478 -1.6687476346505634 6.6038249773900475 -2.715831610624462 -3.12394928196921 33.708258038750714 12.919694955742674 -2.322460860234495 -3.9151623788317695 -2.6598290678988823 -1.867396643480449 -1.7637621411482933 -3.2537591260096095 -2.8773066117028163 -3.05902896802449 -2.4943363408121257 -3.781521740555419 10.318735118056743 -1.4166878433567667 -2.793247175231538 -3.292085054457156 -3.3562348622306035 -3.502544028732473 6.277868807338079 -3.7280699812624647 -2.673939665951093 -2.171741339791618 -2.1601586367260204 -3.0052487425863452 7.736846535458386 -2.7065783244031922 -2.5686625147399296 -1.2964822494421913 18.716888289665782 -1.2166206387231806 -3.292085054457156 8.410888287366351 -1.9072743791850348 -2.770702438749836 -3.1439619740322273 -3.397098108932147 -2.953888686524727 -1.8471349591665573 -2.5588770981608686 -2.1832625948560933 -2.539193135863526 -2.9674453667584837 2.7363495900353647 -3.7715572390706837
"7" "coraline" "children" -5.112849782932301 4.982379331368796 7.1025308810526 -3.3562348622306035 -3.147949245100619 -2.3968834400709285 10.70834976126746 -3.559384154922375 -4.66378716048097 6.2639562772407755 1.0634266521270193 1.2126574968923187 14.904038616347211 -4.109005341672562 4.113561224928125 7.449649295441868 -2.4741389530138123 -2.6026217557710165 3.049961010257433 8.688286403413162 17.059073542527297 -2.428080632660263 -2.458882041114107 -3.7381504052000265 33.26247816467078 -2.859815224008887 4.4803304428407404 -1.5679861114677285 -2.4741389530138123 31.585620968150604 -2.9800997754107494 -2.8816628694761777 23.600751826775245 -1.8266485405431536 -4.449053983027198 2.6033849021136612 8.83041022179185 -4.848405879058872 -1.9782969111723225 -1.9719460218740814 -3.1078463433767443 -3.159880870608315 -2.6926387725468084 12.825317612991949 -2.4792037258743416 36.78998324659442 -1.9463352462793435 -3.573452921837395 -4.39801152154577 11.411931854463333 -3.827679773996041 -2.375857740482478 14.839566021871738 -2.770702438749836 -2.715831610624462 5.694442721189663 10.51310692534961 22.456123040936586 -2.322460860234495 3.121125442929326 -2.6598290678988823 12.884803679128522 13.855242668908453 -3.2537591260096095 -2.8773066117028163 -3.05902896802449 8.549967875764304 -3.781521740555419 3.7320911702589052 18.028816327214187 -2.793247175231538 5.075927591234865 4.851834744698584 4.362655991711107 -2.8466261519149634 -3.7280699812624647 7.628540123394704 -2.171741339791618 -2.1601586367260204 -3.0052487425863452 -4.3115981580594065 7.471663745301419 -2.5686625147399296 -1.2964822494421913 -2.4537753231590993 -1.2166206387231806 -3.292085054457156 -2.402111109181918 -1.9072743791850348 -2.770702438749836 -3.1439619740322273 12.82157352375188 13.523365279854163 13.066885930146892 -2.5588770981608686 10.434646689760669 -2.539193135863526 -2.9674453667584837 10.18691504822867 -3.7715572390706837
"8" "eldest" "children" 13.280784127704468 -3.318649860223691 2.025053825742013 5.983982276688817 6.810267975597664 10.681751030997672 -3.798071148904133 -3.559384154922375 2.057780806444061 -2.9800997754107494 -4.743789344536203 -4.677215887267962 2.9825144839738527 3.520082424293938 -3.5804665751443743 8.851146979664218 -2.4741389530138123 -2.6026217557710165 -3.9407102021299574 -2.469063790842867 1.2781376589465552 -2.428080632660263 -2.458882041114107 4.64780494288815 24.6730101241764 19.06325317514565 5.576451290672872 -1.5679861114677285 10.196112386046748 -4.571425793876933 -2.9800997754107494 -2.8816628694761777 -3.0957141708066964 15.334815028756188 2.596929837810946 3.5288106064004987 -2.4435298699640793 8.082839220631548 -1.9782969111723225 13.925021762595458 -3.1078463433767443 6.760734388665774 -2.6926387725468084 -1.8741018594652163 -2.4792037258743416 -4.0474898130217625 14.159812161969354 -3.573452921837395 -4.39801152154577 -2.046856560683294 4.362128212401508 -2.375857740482478 17.11657480208171 -2.770702438749836 -2.715831610624462 -3.12394928196921 12.262741168817367 -3.2188756499700943 -2.322460860234495 -3.9151623788317695 -2.6598290678988823 -1.867396643480449 -1.7637621411482933 -3.2537591260096095 18.91248961991473 -3.05902896802449 -2.4943363408121257 4.5082527294019705 -3.704442319190267 -1.4166878433567667 -2.793247175231538 -3.292085054457156 5.983982276688817 -3.502544028732473 -2.8466261519149634 -3.7280699812624647 9.049571818476883 12.262741168817367 -2.1601586367260204 -3.0052487425863452 -4.3115981580594065 8.875559203191711 -2.5686625147399296 -1.2964822494421913 10.321625132855916 -1.2166206387231806 -3.292085054457156 -2.402111109181918 -1.9072743791850348 -2.770702438749836 -3.1439619740322273 -3.397098108932147 7.081311155067857 -1.8471349591665573 -2.5588770981608686 -2.1832625948560933 -2.539193135863526 -2.9674453667584837 -3.908749332137042 -3.7715572390706837
"9" "endymionspring" "children" 6.063472536102229 -3.318649860223691 19.75734455216269 -3.3562348622306035 15.004458145772247 21.443598824334117 -3.798071148904133 -3.559384154922375 -4.66378716048097 -2.9800997754107494 -4.743789344536203 -4.677215887267962 -4.302861374698755 -4.109005341672562 28.338757326870677 -2.7112089151701544 -2.4741389530138123 -2.6026217557710165 -3.9407102021299574 -2.469063790842867 6.441029729086017 -2.428080632660263 -2.458882041114107 -3.7381504052000265 -2.322460860234495 -2.859815224008887 -3.466545703942203 34.87548537398314 -2.4741389530138123 -4.571425793876933 16.194713636660698 -2.8816628694761777 -3.0957141708066964 -1.8266485405431536 -4.449053983027198 -4.105951453965903 -2.4435298699640793 -4.848405879058872 -1.9782969111723225 -1.9719460218740814 -3.1078463433767443 -3.159880870608315 -2.6926387725468084 -1.8741018594652163 -2.4792037258743416 -4.0474898130217625 -1.9463352462793435 -3.573452921837395 21.587758121355545 -2.046856560683294 -3.827679773996041 -2.375857740482478 32.57421155002141 -2.770702438749836 -2.715831610624462 -3.12394928196921 -2.171741339791618 -3.2188756499700943 -2.322460860234495 -3.9151623788317695 -2.6598290678988823 28.73288173998844 -1.7637621411482933 -3.2537591260096095 -2.8773066117028163 -3.05902896802449 20.41470611985784 -3.781521740555419 -3.704442319190267 -1.4166878433567667 -2.793247175231538 31.423213121385167 13.669646665285365 -3.502544028732473 -2.8466261519149634 -3.7280699812624647 -2.673939665951093 -2.171741339791618 -2.1601586367260204 -3.0052487425863452 -4.3115981580594065 -2.7065783244031922 -2.5686625147399296 -1.2964822494421913 -2.4537753231590993 -1.2166206387231806 -3.292085054457156 -2.402111109181918 -1.9072743791850348 -2.770702438749836 -3.1439619740322273 -3.397098108932147 10.06546268690986 -1.8471349591665573 19.772346696810445 76.33618432484478 -2.539193135863526 -2.9674453667584837 -3.908749332137042 -3.7715572390706837
